index,text,true_label,pred_xlmr,conf_xlmr,xlmr_probs,pred_wangchan,conf_wangchan,error_category,analysis_note
0,เมืองเจ้าภาพจับตาคณะเจ้าภาพประกาศวาระร่วม (20 ธ.ค. 2567) แหล่งข่าวระบุว่าการดำเนินการครั้งนี้มุ่งเน้นการประสานงานและติดตามผลในระยะถัดไป โดยย้ำกรอบความร่วมมื่อที่เป็นรูปธรรม. ผู้แทนหลายฝ่ายเห็นพ้องให้จัดทำแผนงานและกำหนดกรอบเวลาสำหรับข้อเสนอสำคัญ พร้อมประเมินผลกระทบในภาพรวม. ทั้งนี้ มีการคาดการณ์ว่าจะมีการหารือเพิ่มเติมในระดับคณะทำงาน เพื่อสรุปประเด็นที่ยังต้องการความชัดเจน. รายงานยังกล่าวถึงประเด็น เทคโนโลยีการสื่อสาร ที่อาจเกี่ยวข้องในทางอ้อม.,World,World,0.9984,"[0.9984, 0.0007, 0.0009]",World,0.9985,Short headline / insufficient context,"This article contains content that can reasonably be interpreted as both World and World. The wording lacks strong domain-specific cues, making the topic semantically ambiguous even though the model predicts a label with high confidence."
1,อัตราดอกเบี้ยเคลื่อนไหวต่อเนื่อง นักลงทุนประเมินความเสี่ยง (28 มี.ค. 2567) นักวิเคราะห์มองว่าแนวโน้มยังขึ้นกับข้อมูลเศรษฐกิจและทิศทางนโยบาย โดยสถานการณ์ล่าสุดสะท้อนความระมัดระวังของตลาด ตามกรอบนโยบาย. ผู้ประกอบการบางส่วนคาดว่าความผันผวนจะทยอยลดลง หากปัจจัยพื้นฐานเริ่มมีเสถียรภาพและแรงกดดันต้นทุนคลี่คลาย. ด้านผู้เชี่ยวชาญมองว่าแนวโน้มอาจเปลี่ยนได้ตามเงื่อนไขในระยะสั้น.,Business,Business,0.9984,"[0.0007, 0.9984, 0.0008]",Business,0.9986,Short headline / insufficient context,"This article contains content that can reasonably be interpreted as both Business and Business. The wording lacks strong domain-specific cues, making the topic semantically ambiguous even though the model predicts a label with high confidence."
2,รายได้เคลื่อนไหวต่อเนื่อง นักลงทุนประเมินความเสี่ยง (2 ต.ค. 2568) นักวิเคราะห์มองว่าแนวโน้มยังขึ้นกับข้อมูลเศรษฐกิจและทิศทางนโยบาย โดยสถานการณ์ล่าสุดสะท้อนความระมัดระวังของตลาด หลังต้นทุนเปลี่ยน. ผู้ประกอบการบางส่วนคาดว่าความผันผวนจะทยอยลดลง หากปัจจัยพื้นฐานเริ่มมีเสถียรภาพและแรงกดดันต้นทุนคลี่คลาย. อย่างไรก็ตาม ยังมีข้อมูลบางส่วนที่ต้องรอการยืนยันจากหลายฝ่าย.,Business,Business,0.9982,"[0.0008, 0.9982, 0.001]",Business,0.9986,Short headline / insufficient context,"This article contains content that can reasonably be interpreted as both Business and Business. The wording lacks strong domain-specific cues, making the topic semantically ambiguous even though the model predicts a label with high confidence."
3,ทูตพิเศษหารือมาตรการร่วมที่ตะวันออกกลาง (16 มี.ค. 2568) แหล่งข่าวระบุว่าการดำเนินการครั้งนี้มุ่งเน้นการประสานงานและติดตามผลในระยะถัดไป โดยย้ำกรอบความร่วมมือที่เป็นรูปธรรม. ผู้แทนหลายฝ่ายเห็นพ้องให้จัดทำแผนงานและกำหนดกรอบเวลาสำหรับข้อเสนอสำคัญ พร้อมประเมินผลกระทบในภาพรวม.,World,World,0.9984,"[0.9984, 0.0007, 0.001]",World,0.9985,Short headline / insufficient context,"This article contains content that can reasonably be interpreted as both World and World. The wording lacks strong domain-specific cues, making the topic semantically ambiguous even though the model predicts a label with high confidence."
4,ภูมิภาคอาเซียนจับตาภาคเอกชนผลักดันห่วงโซ่อุปทาน (13 ก.พ. 2567) แหล่งข่าวระบุว่าการดำเนินการครั้งนี้มุ่งเน้นการประสานงานและติดตามผลในระยะถัดไป โดยย้ำกรอบความร่วมมือที่เป็นรูปธรรม. ผู้แทนหลายฝ่ายเห็นพ้องให้จัดทำแผนงานและกำหนดกรอบเวลาสำหรับข้อเสนอสำคัญ พร้อมประเมินผลกระทบในภาพรวม. ทั้งนี้ มีการคาดการณ์ว่าจะมีการหารือเพิ่มเติมในระดับคณะทำงาน เพื่อสรุปประเด็นที่ยังต้องการความชัดเจน. อย่างไรก็ตาม ยังมีข้อมูลบางส่วนที่ต้องรอการยืนยันจากหลายฝ่าย.,World,World,0.9984,"[0.9984, 0.0007, 0.0009]",World,0.9984,Short headline / insufficient context,"This article contains content that can reasonably be interpreted as both World and World. The wording lacks strong domain-specific cues, making the topic semantically ambiguous even though the model predicts a label with high confidence."
5,กระทรวงต่างประเทศเจรจาความร่วมมือที่ตะวันออกกลาง (29 ต.ค. 2568) แหล่งข่าวระบุว่าการดำเนินการครั้งนี้มุ่งเน้นการประสานงานและติดตามผลในระยะถัดไป โดยย้ำกรอบความร่วมมือที่เป็นรูปธรรม. ผู้แทนหลายฝ่ายเห็นพ้องให้จัดทำแผนงานและกำหนดกรอบเวลาสำหรับข้อเสนอสำคัญ พร้อมประเมินผลกระทบในภาพรวม.,World,World,0.9984,"[0.9984, 0.0007, 0.001]",World,0.9984,Short headline / insufficient context,"This article contains content that can reasonably be interpreted as both World and World. The wording lacks strong domain-specific cues, making the topic semantically ambiguous even though the model predicts a label with high confidence."
6,วงการจับตา เซนเซอร์ หลังบริษัทอุปกรณ์ปรับสเปก (21 มิ.ย. 2567) รายงานระบุว่าเทคโนโลยีดังกล่าวอาจช่วยเพิ่มประสิทธิภาพการใช้งาน และขยายโอกาสการนำไปใช้จริงในหลายภาคส่วน โดยลดการใช้พลังงาน. ผู้เชี่ยวชาญแนะนำให้ติดตามผลทดสอบเพิ่มเติม เพื่อประเมินความเสถียร ความปลอดภัย และผลกระทบในภาพรวมก่อนขยายการใช้งาน. ทีมพัฒนาระบุว่าจะเผยรายละเอียดเชิงเทคนิคเพิ่มเติม และเปิดให้ทดสอบในวงจำกัดในระยะถัดไป. รายงานยังกล่าวถึงประเด็น ความร่วมมือระหว่างประเทศ ที่อาจเกี่ยวข้องในทางอ้อม.,SciTech,SciTech,0.9981,"[0.001, 0.0009, 0.9981]",SciTech,0.9984,Short headline / insufficient context,"This article contains content that can reasonably be interpreted as both SciTech and SciTech. The wording lacks strong domain-specific cues, making the topic semantically ambiguous even though the model predicts a label with high confidence."
7,วงการจับตา การรั่วไหลของข้อมูล หลังบริษัทเทคโนโลยีแนะนำ (14 ก.ค. 2568) รายงานระบุว่าเทคโนโลยีดังกล่าวอาจช่วยเพิ่มประสิทธิภาพการใช้งาน และขยายโอกาสการนำไปใช้จริงในหลายภาคส่วน โดยเพิ่มการยืนยันตัวตน. ผู้เชี่ยวชาญแนะนำให้ติดตามผลทดสอบเพิ่มเติม เพื่อประเมินความเสถียร ความปลอดภัย และผลกระทบในภาพรวมก่อนขยายการใช้งาน. ทีมพัฒนาระบุว่าจะเผยรายละเอียดเชิงเทคนิคเพิ่มเติม และเปิดให้ทดสอบในวงจำกัดในระยะถัดไป. ด้านผู้เชี่ยวชาญมองว่าแนวโน้มอาจเปลี่ยนได้ตามเงื่อนไขในระยะสั้น.,SciTech,SciTech,0.9979,"[0.001, 0.0011, 0.9979]",SciTech,0.9984,Short headline / insufficient context,"This article contains content that can reasonably be interpreted as both SciTech and SciTech. The wording lacks strong domain-specific cues, making the topic semantically ambiguous even though the model predicts a label with high confidence."
8,ผู้นำประเทศสรุปวาระร่วมที่ศูนย์ประชุม (11 ก.ค. 2568) แหล่งข่าวระบุว่าการดำเนินการครั้งนี้มุ่งเน้นการประสานงานและติดตามผลในระยะถัดไป โดยย้ำกรอบความร่วมมือที่เป็นรูปธรรม. ผู้แทนหลายฝ่ายเห็นพ้องให้จัดทำแผนงานและกำหนดกรอบเวลาสำหรับข้อเสนอสำคัญ พร้อมประเมินผลกระทบในภาพรวม.,World,World,0.9984,"[0.9984, 0.0007, 0.0009]",World,0.9985,Short headline / insufficient context,"This article contains content that can reasonably be interpreted as both World and World. The wording lacks strong domain-specific cues, making the topic semantically ambiguous even though the model predicts a label with high confidence."
9,บ.ริษัทอุปกรณ์เพิ่มกำลังผลิตชิปประมวลผล ตั้งเป้าเพิ่มประสิทธิภาพ (5 ม.ค. 2568) รายงานระบุว่าเทคโนโลยีดังกล่าวอาจช่วยเพิ่มประสิทธิภาพการใช้งาน และขยายโอกาสการนำไปใช้จริงในหลายภาคส่วน โดยรองรับงาน AI. ผู้เชี่ยวชาญแนะนำให้ติดตามผลทดสอบเพิ่มเติม เพื่อประเมินความเสถียร ความปลอดภัย และผลกระทบในภาพรวมก่อนขยายการใช้งาน. อย่างไรก็ตาม ยังมีข้อมูลบางส่วนที่ต้องรอการยืนยันจากหลายฝ่าย. รายงานยังกล่าวถึงประเด็น กฎระเบียบ ที่อาจเกี่ยวข้องในทางอ้อม.,SciTech,SciTech,0.9982,"[0.0009, 0.0009, 0.9982]",SciTech,0.9979,Short headline / insufficient context,"This article contains content that can reasonably be interpreted as both SciTech and SciTech. The wording lacks strong domain-specific cues, making the topic semantically ambiguous even though the model predicts a label with high confidence."
